Kindly copy this dataset in excel!!!,,,,,,,,,,,,,
,,,,,,,,,,,,,
Transaction ID,Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
4202613,Foot Locker,1185732,01-01-2020,Northeast,New York,New York,Men's Street Footwear,50,1200,60000,30000,0.5,In-store
2601861,Foot Locker,1185732,02-01-2020,Northeast,New York,New York,Men's Athletic Footwear,50,1000,50000,15000,0.3,In-store
5045414,Foot Locker,1185732,03-01-2020,Northeast,New York,New York,Women's Street Footwear,40,1000,40000,14000,0.35,In-store
2604337,Foot Locker,1185732,04-01-2020,Northeast,New York,New York,Women's Athletic Footwear,45,850,38250,13387.5,0.35,In-store
3200900,Foot Locker,1185732,05-01-2020,Northeast,New York,New York,Men's Apparel,60,900,54000,16200,0.3,In-store
3319129,Foot Locker,1185732,06-01-2020,Northeast,New York,New York,Women's Apparel,50,1000,50000,12500,0.25,In-store
7568756,Foot Locker,1185732,07-01-2020,Northeast,New York,New York,Men's Street Footwear,50,1250,62500,31250,0.5,In-store
5230462,Foot Locker,1185732,08-01-2020,Northeast,New York,New York,Men's Athletic Footwear,50,900,45000,13500,0.3,Outlet
5923781,Foot Locker,1185732,21-01-2020,Northeast,New York,New York,Women's Street Footwear,40,950,38000,13300,0.35,Outlet
9879243,Foot Locker,1185732,22-01-2020,Northeast,New York,New York,Women's Athletic Footwear,45,825,37125,12993.75,0.35,Outlet
7507525,Foot Locker,1185732,23-01-2020,Northeast,New York,New York,Men's Apparel,60,900,54000,16200,0.3,Outlet
7725344,Foot Locker,1185732,24-01-2020,Northeast,New York,New York,Women's Apparel,50,1000,50000,12500,0.25,Outlet
6704672,Foot Locker,1185732,25-01-2020,Northeast,New York,New York,Men's Street Footwear,50,1220,61000,30500,0.5,Outlet
7459717,Foot Locker,1185732,26-01-2020,Northeast,New York,New York,Men's Athletic Footwear,50,925,46250,13875,0.3,Outlet
5680187,Foot Locker,1185732,27-01-2020,Northeast,New York,New York,Women's Street Footwear,40,950,38000,13300,0.35,Outlet
6481264,Foot Locker,1185732,28-01-2020,Northeast,New York,New York,Women's Athletic Footwear,45,800,36000,12600,0.35,Outlet
4782345,Foot Locker,1185732,29-01-2020,Northeast,New York,New York,Men's Apparel,60,850,51000,15300,0.3,Outlet
8465018,Foot Locker,1185732,30-01-2020,Northeast,New York,New York,Women's Apparel,50,950,47500,11875,0.25,Outlet
5758953,Foot Locker,1185732,31-01-2020,Northeast,New York,New York,Men's Street Footwear,50,1200,60000,30000,0.5,Outlet
4632132,Foot Locker,1185732,01-02-2020,Northeast,New York,New York,Men's Athletic Footwear,50,900,45000,13500,0.3,Outlet
9613338,Foot Locker,1185732,02-02-2020,Northeast,New York,New York,Women's Street Footwear,40,900,36000,12600,0.35,Outlet
7153810,Foot Locker,1185732,03-02-2020,Northeast,New York,New York,Women's Athletic Footwear,45,825,37125,12993.75,0.35,Outlet
2754568,Foot Locker,1185732,04-02-2020,Northeast,New York,New York,Men's Apparel,60,825,49500,14850,0.3,Outlet
9829607,Foot Locker,1185732,05-02-2020,Northeast,New York,New York,Women's Apparel,50,950,47500,11875,0.25,Outlet
6387193,Foot Locker,1185732,06-02-2020,Northeast,New York,New York,Men's Street Footwear,60,1220,73200,36600,0.5,Outlet
3068841,Foot Locker,1185732,07-02-2020,Northeast,New York,New York,Men's Athletic Footwear,55,925,50875,15262.5,0.3,Outlet
5539664,Foot Locker,1185732,08-02-2020,Northeast,New York,New York,Women's Street Footwear,50,900,45000,15750,0.35,Outlet
6490337,Foot Locker,1185732,09-02-2020,Northeast,New York,New York,Women's Athletic Footwear,50,850,42500,14875,0.35,Outlet
2052614,Foot Locker,1185732,10-02-2020,Northeast,New York,New York,Men's Apparel,60,875,52500,15750,0.3,Outlet
6778465,Foot Locker,1185732,03-03-2020,Northeast,New York,New York,Women's Apparel,65,1000,65000,16250,0.25,Outlet
2458012,Foot Locker,1185732,04-03-2020,Northeast,New York,New York,Men's Street Footwear,60,1250,75000,37500,0.5,Outlet
6638699,Foot Locker,1185732,05-03-2020,Northeast,New York,New York,Men's Athletic Footwear,55,1000,55000,16500,0.3,Outlet
3342797,Foot Locker,1185732,06-03-2020,Northeast,New York,New York,Women's Street Footwear,50,925,46250,16187.5,0.35,Outlet
6763681,Foot Locker,1185732,07-03-2020,Northeast,New York,New York,Women's Athletic Footwear,50,900,45000,15750,0.35,Outlet
8800882,Foot Locker,1185732,08-03-2020,Northeast,New York,New York,Men's Apparel,60,900,54000,16200,0.3,Outlet
5518829,Foot Locker,1185732,09-03-2020,Northeast,New York,New York,Women's Apparel,65,1050,68250,17062.5,0.25,Outlet
4934175,Foot Locker,1185732,10-03-2020,Northeast,New York,New York,Men's Street Footwear,60,1275,76500,38250,0.5,Outlet
7849958,Foot Locker,1185732,11-03-2020,Northeast,New York,New York,Men's Athletic Footwear,55,1025,56375,16912.5,0.3,Outlet
6439427,Foot Locker,1185732,12-03-2020,Northeast,New York,New York,Women's Street Footwear,50,950,47500,16625,0.35,Outlet
1347899,Foot Locker,1185732,13-03-2020,Northeast,New York,New York,Women's Athletic Footwear,50,900,45000,15750,0.35,Outlet
7489424,Foot Locker,1185732,14-03-2020,Northeast,New York,New York,Men's Apparel,60,925,55500,16650,0.3,Outlet
8663202,Foot Locker,1185732,15-03-2020,Northeast,New York,New York,Women's Apparel,65,1100,71500,17875,0.25,Outlet
3501123,Foot Locker,1185732,16-03-2020,Northeast,New York,New York,Men's Street Footwear,60,1250,75000,37500,0.5,Outlet
2305460,Foot Locker,1185732,17-03-2020,Northeast,New York,New York,Men's Athletic Footwear,55,1025,56375,16912.5,0.3,Outlet
7628807,Foot Locker,1185732,18-03-2020,Northeast,New York,New York,Women's Street Footwear,50,950,47500,16625,0.35,Outlet
5133554,Foot Locker,1185732,31-03-2020,Northeast,New York,New York,Women's Athletic Footwear,50,925,46250,16187.5,0.35,Outlet
4037973,Walmart,1185732,17-04-2020,Northeast,New York,New York,Men's Apparel,60,900,54000,16200,0.3,Outlet
5156272,Walmart,1185732,18-04-2020,Northeast,New York,New York,Women's Apparel,65,1075,69875,17468.75,0.25,Outlet
6275697,Walmart,1185732,19-04-2020,Northeast,New York,New York,Men's Street Footwear,60,1200,72000,36000,0.5,Outlet
1912888,Walmart,1185732,20-04-2020,Northeast,New York,New York,Men's Athletic Footwear,55,1000,55000,16500,0.3,Outlet
5363730,Walmart,1185732,21-04-2020,Northeast,New York,New York,Women's Street Footwear,50,925,46250,16187.5,0.35,Outlet
5391283,Walmart,1185732,22-04-2020,Northeast,New York,New York,Women's Athletic Footwear,50,900,45000,15750,0.35,Outlet
3791214,Walmart,1185732,23-04-2020,Northeast,New York,New York,Men's Apparel,60,900,54000,16200,0.3,Outlet
5883588,Walmart,1185732,24-04-2020,Northeast,New York,New York,Women's Apparel,65,1000,65000,16250,0.25,Outlet
4973261,Walmart,1185732,25-04-2020,Northeast,New York,New York,Men's Apparel,65,875,56875,17062.5,0.3,Outlet
8998301,Walmart,1185732,26-04-2020,Northeast,New York,New York,Women's Apparel,70,1000,70000,17500,0.25,Outlet
4979510,Walmart,1185732,27-04-2020,Northeast,New York,New York,Men's Street Footwear,65,1150,74750,37375,0.5,Outlet
5491212,Walmart,1185732,28-04-2020,Northeast,New York,New York,Men's Athletic Footwear,55,975,53625,16087.5,0.3,Outlet
6583849,Walmart,1185732,29-04-2020,Northeast,New York,New York,Women's Street Footwear,55,920,50600,17710,0.35,Outlet
2126041,Walmart,1185732,30-04-2020,Northeast,New York,New York,Women's Athletic Footwear,55,900,49500,17325,0.35,Outlet
4978993,Walmart,1185732,01-05-2020,Northeast,New York,New York,Men's Apparel,65,875,56875,17062.5,0.3,Outlet
2714336,Walmart,1185732,02-05-2020,Northeast,New York,New York,Women's Apparel,70,975,68250,17062.5,0.25,Outlet
1760109,Walmart,1185732,03-05-2020,Northeast,New York,New York,Men's Street Footwear,65,1200,78000,39000,0.5,Outlet
2818770,Walmart,1185732,04-05-2020,Northeast,New York,New York,Men's Athletic Footwear,55,1000,55000,16500,0.3,Outlet
5253942,Walmart,1185732,05-05-2020,Northeast,New York,New York,Women's Street Footwear,55,950,52250,18287.5,0.35,Outlet
4763003,Walmart,1185732,06-05-2020,Northeast,New York,New York,Women's Athletic Footwear,55,900,49500,17325,0.35,Outlet
3825237,Walmart,1185732,07-05-2020,Northeast,New York,New York,Men's Apparel,65,900,58500,17550,0.3,Outlet
4027511,Walmart,1185732,18-07-2020,Northeast,New York,New York,Women's Apparel,70,1000,70000,17500,0.25,Outlet
2483480,Sports Direct,1197831,19-07-2020,Northeast,New York,New York,Men's Street Footwear,25,900,22500,7875,0.35,Outlet
2520997,Sports Direct,1197831,20-07-2020,Northeast,New York,New York,Men's Athletic Footwear,35,900,31500,11025,0.35,Outlet
